        TURNING , 4    
          TWICE , 2    
  UNCOMFORTABLE , 2    
          UNDER , 8    
     UNDERSTAND , 3    
     UNPLEASANT , 2    
          UNTIL , 3    
        UPDATED , 5    
           UPON , 11   
           USED , 6    
         USEFUL , 2    
          USUAL , 3    
        USUALLY , 2    
        VENTURE , 2    
           VERY , 62   
      VIOLENTLY , 2    
          VOICE , 15   
         WAITED , 6    
        WAITING , 4    
           WALK , 3    
         WALKED , 2    
        WALKING , 2    
           WANT , 4    
         WANTED , 2    
          WASNT , 2    
          WATCH , 2    
          WATER , 3    
           WELL , 24   
           WENT , 27   
           WERE , 23   
           WHAT , 51   
          WHATS , 2    
           WHEN , 33   
          WHERE , 3    
        WHETHER , 3    
          WHICH , 26   
          WHILE , 9    
       WHISKERS , 2    
          WHITE , 10   
          WHOLE , 5    
           WILL , 13   
        WILLIAM , 6    
         WINDOW , 8    
           WINK , 2    
           WISH , 13   
           WITH , 60   
        WITHOUT , 9    
         WONDER , 16   
     WONDERLAND , 5    
           WONT , 8    
           WOOD , 3    
          WORDS , 10   
           WORK , 3    
          WORLD , 3    
          WORTH , 3    
          WOULD , 25   
        WOULDNT , 5    
        WRITTEN , 2    
          WRONG , 2    
           YOUD , 3    
          YOULL , 4    
          YOUNG , 2    
           YOUR , 21   
          YOURE , 10   
       YOURSELF , 4    
          YOUTH , 6    
